id;timepoint;age;vocab_score;alternatives;source
74;T1;17;56;0;NA
74;T2;23;80;2;simulated
74;T3;39;91;3;simulated
75;T1;19;14;0;NA
75;T2;25;113;20;cross_sectional
75;T3;36;445;20;cross_sectional
76;T1;18;116;0;NA
76;T2;23;141;3;simulated
76;T3;39;166;3;simulated
77;T1;20;169;34;NA
77;T2;23;169;34;cross_sectional
77;T3;37;606;36;cross_sectional
78;T1;19;38;6;NA
78;T2;24;62;8;simulated
78;T3;37;62;8;cross_sectional
79;T1;20;76;0;NA
79;T2;24;104;4;simulated
79;T3;38;128;9;simulated
80;T1;20;31;0;NA
80;T2;23;49;0;simulated
80;T3;39;72;2;simulated
81;T1;18;13;0;NA
81;T2;23;26;0;simulated
81;T3;37;37;1;simulated
82;T1;18;12;0;NA
82;T2;23;234;17;cross_sectional
82;T3;37;248;24;simulated
83;T1;19;26;0;NA
83;T2;25;44;1;simulated
83;T3;38;44;36;cross_sectional
84;T1;20;116;0;NA
84;T2;23;133;5;simulated
84;T3;37;156;6;simulated
85;T1;18;122;6;NA
85;T2;23;147;9;simulated
85;T3;36;147;11;cross_sectional
86;T1;18;273;3;NA
86;T2;24;283;5;simulated
86;T3;39;283;37;cross_sectional
87;T1;19;213;0;NA
87;T2;23;229;0;simulated
87;T3;36;236;3;simulated
88;T1;19;213;0;NA
88;T2;23;226;2;simulated
88;T3;36;670;2;cross_sectional
89;T1;20;12;0;NA
89;T2;25;107;30;cross_sectional
89;T3;38;107;30;cross_sectional
90;T1;17;24;0;NA
90;T2;24;45;2;simulated
90;T3;39;61;2;simulated
91;T1;18;31;0;NA
91;T2;26;57;0;simulated
91;T3;37;80;0;simulated
92;T1;18;197;19;NA
92;T2;26;212;21;simulated
92;T3;39;220;21;simulated
93;T1;17;13;8;NA
93;T2;25;36;8;simulated
93;T3;38;56;8;simulated
94;T1;18;61;18;NA
94;T2;24;178;18;cross_sectional
94;T3;39;195;22;simulated
95;T1;20;12;2;NA
95;T2;26;36;5;simulated
95;T3;39;86;5;cross_sectional
96;T1;17;56;0;NA
96;T2;25;71;0;simulated
96;T3;38;98;2;simulated
97;T1;17;59;2;NA
97;T2;23;85;5;simulated
97;T3;37;97;6;simulated
98;T1;18;26;7;NA
98;T2;26;43;7;simulated
98;T3;37;65;8;simulated
99;T1;19;197;0;NA
99;T2;24;211;0;simulated
99;T3;37;224;2;simulated
100;T1;19;213;0;NA
100;T2;26;234;3;simulated
100;T3;39;669;36;cross_sectional
